colour	y	x	key	tooltip	clickSelects	showSelected1	showSelected2	fill	row_in_group	na_group
#FF0000	2	-0.263149991194429	rpart1	rpart fold 1 MSE=0.546	1	rpart	sin easy 10	#FF0000	1	0
#FF0000	2	-0.253645970442366	rpart1	rpart fold 1 MSE=0.558	1	rpart	sin easy 14	#FF0000	2	0
#FF0000	2	-0.263367406449034	rpart1	rpart fold 1 MSE=0.545	1	rpart	sin easy 19	#FF0000	3	0
#FF0000	2	-0.301403150118009	rpart1	rpart fold 1 MSE=0.500	1	rpart	sin easy 25	#FF0000	4	0
#FF0000	2	-0.297690142034745	rpart1	rpart fold 1 MSE=0.504	1	rpart	sin easy 35	#FF0000	5	0
#FF0000	2	-0.545144043880264	rpart1	rpart fold 1 MSE=0.285	1	rpart	sin easy 48	#FF0000	6	0
#FF0000	2	-0.56638253453649	rpart1	rpart fold 1 MSE=0.271	1	rpart	sin easy 65	#FF0000	7	0
#FF0000	2	-0.94895696506106	rpart1	rpart fold 1 MSE=0.112	1	rpart	sin easy 89	#FF0000	8	0
#FF0000	2	-1.07095499116094	rpart1	rpart fold 1 MSE=0.085	1	rpart	sin easy 121	#FF0000	9	0
#FF0000	2	-1.32193673026358	rpart1	rpart fold 1 MSE=0.048	1	rpart	sin easy 165	#FF0000	10	0
#FF0000	2	-1.35189833796928	rpart1	rpart fold 1 MSE=0.044	1	rpart	sin easy 226	#FF0000	11	0
#FF0000	2	-1.35067314687939	rpart1	rpart fold 1 MSE=0.045	1	rpart	sin easy 308	#FF0000	12	0
#FF0000	2	-1.32210466790861	rpart1	rpart fold 1 MSE=0.048	1	rpart	sin easy 421	#FF0000	13	0
#FF0000	2	-1.24125667696298	rpart1	rpart fold 1 MSE=0.057	1	rpart	sin easy 575	#FF0000	14	0
#FF0000	2	-1.27720030330553	rpart1	rpart fold 1 MSE=0.053	1	rpart	sin easy 785	#FF0000	15	0
#FF0000	2	-1.34511622845339	rpart1	rpart fold 1 MSE=0.045	1	rpart	sin easy 1072	#FF0000	16	0
#FF0000	2	-1.28054636768018	rpart1	rpart fold 1 MSE=0.052	1	rpart	sin easy 1464	#FF0000	17	0
#FF0000	2	-1.29573073845409	rpart1	rpart fold 1 MSE=0.051	1	rpart	sin easy 2000	#FF0000	18	0
#FF0000	2	-0.281412135577668	rpart2	rpart fold 2 MSE=0.523	2	rpart	sin easy 10	#FF0000	19	0
#FF0000	2	-0.3056569488246	rpart2	rpart fold 2 MSE=0.495	2	rpart	sin easy 14	#FF0000	20	0
#FF0000	2	-0.297817757657029	rpart2	rpart fold 2 MSE=0.504	2	rpart	sin easy 19	#FF0000	21	0
#FF0000	2	-0.332744128741337	rpart2	rpart fold 2 MSE=0.465	2	rpart	sin easy 25	#FF0000	22	0
#FF0000	2	-0.357361221299419	rpart2	rpart fold 2 MSE=0.439	2	rpart	sin easy 35	#FF0000	23	0
#FF0000	2	-0.598676447850253	rpart2	rpart fold 2 MSE=0.252	2	rpart	sin easy 48	#FF0000	24	0
#FF0000	2	-0.601545198728882	rpart2	rpart fold 2 MSE=0.250	2	rpart	sin easy 65	#FF0000	25	0
#FF0000	2	-0.889635912562904	rpart2	rpart fold 2 MSE=0.129	2	rpart	sin easy 89	#FF0000	26	0
