group	fill	ymin	ymax	x	showSelected1	PANEL	colour
1	#0000FF	-0.301347826423923	-0.268776724363063	1	featureless	1	#0000FF
1	#0000FF	-0.310028682738875	-0.262469835517944	1.14612803567824	featureless	1	#0000FF
1	#0000FF	-0.317782414060432	-0.273015598837992	1.27875360095283	featureless	1	#0000FF
1	#0000FF	-0.310133107693843	-0.26794036664703	1.39794000867204	featureless	1	#0000FF
1	#0000FF	-0.306983235491571	-0.265492021188993	1.54406804435028	featureless	1	#0000FF
1	#0000FF	-0.317951372334474	-0.272366426686078	1.68124123737559	featureless	1	#0000FF
1	#0000FF	-0.317499970150215	-0.269083719563283	1.81291335664286	featureless	1	#0000FF
1	#0000FF	-0.316956424929461	-0.267598781215435	1.94939000664491	featureless	1	#0000FF
1	#0000FF	-0.316292394306327	-0.267532897861965	2.08278537031645	featureless	1	#0000FF
1	#0000FF	-0.314426179281755	-0.266551299243398	2.21748394421391	featureless	1	#0000FF
1	#0000FF	-0.318103174981912	-0.266583555842418	2.3541084391474	featureless	1	#0000FF
1	#0000FF	-0.318244436077419	-0.27149948926488	2.48855071650044	featureless	1	#0000FF
1	#0000FF	-0.317239215208171	-0.270536934782131	2.62428209583567	featureless	1	#0000FF
1	#0000FF	-0.317919968462404	-0.271189395889347	2.75966784468963	featureless	1	#0000FF
1	#0000FF	-0.31900827431202	-0.273135907310841	2.89486965674525	featureless	1	#0000FF
1	#0000FF	-0.319549591945838	-0.27347125931359	3.03019478535675	featureless	1	#0000FF
1	#0000FF	-0.319306810698423	-0.273330699719863	3.16554107672237	featureless	1	#0000FF
1	#0000FF	-0.31899940310915	-0.273610228073465	3.30102999566398	featureless	1	#0000FF
1	#0000FF	0.489942444544836	0.572930716544566	1	featureless	2	#0000FF
1	#0000FF	0.48964463113808	0.565996214073091	1.14612803567824	featureless	2	#0000FF
1	#0000FF	0.480300396648231	0.582137949400402	1.27875360095283	featureless	2	#0000FF
1	#0000FF	0.483315928983125	0.62465048916127	1.39794000867204	featureless	2	#0000FF
1	#0000FF	0.488857682236922	0.586200714432857	1.54406804435028	featureless	2	#0000FF
1	#0000FF	0.484271909541458	0.556958401405587	1.68124123737559	featureless	2	#0000FF
1	#0000FF	0.484867367450845	0.55373639370539	1.81291335664286	featureless	2	#0000FF
1	#0000FF	0.482471083217213	0.548364305666142	1.94939000664491	featureless	2	#0000FF
1	#0000FF	0.486886601626746	0.545621458884124	2.08278537031645	featureless	2	#0000FF
1	#0000FF	0.488343340349931	0.546542761658533	2.21748394421391	featureless	2	#0000FF
1	#0000FF	0.48935492687083	0.546097785025523	2.3541084391474	featureless	2	#0000FF
1	#0000FF	0.491079283486304	0.545981719658384	2.48855071650044	featureless	2	#0000FF
1	#0000FF	0.489946320859994	0.545744672525299	2.62428209583567	featureless	2	#0000FF
1	#0000FF	0.488856316113226	0.545077412585021	2.75966784468963	featureless	2	#0000FF
1	#0000FF	0.484879778596769	0.544480107257947	2.89486965674525	featureless	2	#0000FF
1	#0000FF	0.483319601025579	0.545165009743661	3.03019478535675	featureless	2	#0000FF
1	#0000FF	0.48305173705909	0.545164958972248	3.16554107672237	featureless	2	#0000FF
1	#0000FF	0.48334673540627	0.545155686948931	3.30102999566398	featureless	2	#0000FF
2	#FF0000	-0.301347826423923	-0.268776724363063	1	rpart	1	#FF0000
2	#FF0000	-0.310028682738875	-0.262469835517944	1.14612803567824	rpart	1	#FF0000
2	#FF0000	-0.317782414060432	-0.273015598837992	1.27875360095283	rpart	1	#FF0000
2	#FF0000	-0.342448269741911	-0.302630683196916	1.39794000867204	rpart	1	#FF0000
2	#FF0000	-0.414463970087511	-0.317272899665494	1.54406804435028	rpart	1	#FF0000
2	#FF0000	-0.62329296506506	-0.554703629136976	1.68124123737559	rpart	1	#FF0000
2	#FF0000	-0.825540809227243	-0.572127003464557	1.81291335664286	rpart	1	#FF0000
2	#FF0000	-0.934015819551662	-0.890820083443555	1.94939000664491	rpart	1	#FF0000
2	#FF0000	-1.07053898963007	-0.97606294382136	2.08278537031645	rpart	1	#FF0000
2	#FF0000	-1.24584546609416	-1.06721954136758	2.21748394421391	rpart	1	#FF0000
