ymin	ymax	xmin	xmax	clickSelects	PANEL
-1.40969168560785	-0.18809128706402	0.932322647186353	1.06767735281365	sin easy 10	1
-1.40969168560785	-0.18809128706402	1.06767735281365	1.20303205844094	sin easy 14	1
-1.40969168560785	-0.18809128706402	1.20303205844094	1.33838676406823	sin easy 19	1
-1.40969168560785	-0.18809128706402	1.33838676406823	1.47374146969553	sin easy 25	1
-1.40969168560785	-0.18809128706402	1.47374146969553	1.60909617532282	sin easy 35	1
-1.40969168560785	-0.18809128706402	1.60909617532282	1.74445088095011	sin easy 48	1
-1.40969168560785	-0.18809128706402	1.74445088095011	1.8798055865774	sin easy 65	1
-1.40969168560785	-0.18809128706402	1.8798055865774	2.0151602922047	sin easy 89	1
-1.40969168560785	-0.18809128706402	2.0151602922047	2.15051499783199	sin easy 121	1
-1.40969168560785	-0.18809128706402	2.15051499783199	2.28586970345928	sin easy 165	1
-1.40969168560785	-0.18809128706402	2.28586970345928	2.42122440908658	sin easy 226	1
-1.40969168560785	-0.18809128706402	2.42122440908658	2.55657911471387	sin easy 308	1
-1.40969168560785	-0.18809128706402	2.55657911471387	2.69193382034116	sin easy 421	1
-1.40969168560785	-0.18809128706402	2.69193382034116	2.82728852596846	sin easy 575	1
-1.40969168560785	-0.18809128706402	2.82728852596846	2.96264323159575	sin easy 785	1
-1.40969168560785	-0.18809128706402	2.96264323159575	3.09799793722304	sin easy 1072	1
-1.40969168560785	-0.18809128706402	3.09799793722304	3.23335264285033	sin easy 1464	1
-1.40969168560785	-0.18809128706402	3.23335264285033	3.36870734847763	sin easy 2000	1
0.406675363360545	0.645051854769891	0.932322647186353	1.06767735281365	sin hard 10	2
0.406675363360545	0.645051854769891	1.06767735281365	1.20303205844094	sin hard 14	2
0.406675363360545	0.645051854769891	1.20303205844094	1.33838676406823	sin hard 19	2
0.406675363360545	0.645051854769891	1.33838676406823	1.47374146969553	sin hard 25	2
0.406675363360545	0.645051854769891	1.47374146969553	1.60909617532282	sin hard 35	2
0.406675363360545	0.645051854769891	1.60909617532282	1.74445088095011	sin hard 48	2
0.406675363360545	0.645051854769891	1.74445088095011	1.8798055865774	sin hard 65	2
0.406675363360545	0.645051854769891	1.8798055865774	2.0151602922047	sin hard 89	2
0.406675363360545	0.645051854769891	2.0151602922047	2.15051499783199	sin hard 121	2
0.406675363360545	0.645051854769891	2.15051499783199	2.28586970345928	sin hard 165	2
0.406675363360545	0.645051854769891	2.28586970345928	2.42122440908658	sin hard 226	2
0.406675363360545	0.645051854769891	2.42122440908658	2.55657911471387	sin hard 308	2
0.406675363360545	0.645051854769891	2.55657911471387	2.69193382034116	sin hard 421	2
0.406675363360545	0.645051854769891	2.69193382034116	2.82728852596846	sin hard 575	2
0.406675363360545	0.645051854769891	2.82728852596846	2.96264323159575	sin hard 785	2
0.406675363360545	0.645051854769891	2.96264323159575	3.09799793722304	sin hard 1072	2
0.406675363360545	0.645051854769891	3.09799793722304	3.23335264285033	sin hard 1464	2
0.406675363360545	0.645051854769891	3.23335264285033	3.36870734847763	sin hard 2000	2
